"fichier","variable","type","label","n_obs","n_manquants","n_modalites","modalites"
"calorie_conversion_wa_2021.dta","codpr","numeric","codpr",177,0,177,NA
"calorie_conversion_wa_2021.dta","prodlab","character","prodlab",177,0,177,NA
"calorie_conversion_wa_2021.dta","refuse","numeric","refuse",177,0,27,NA
"calorie_conversion_wa_2021.dta","cal","numeric","cal",177,0,111,NA
"ehcvm_conso_sen2021.dta","country","character","Pays",545801,0,1,NA
"ehcvm_conso_sen2021.dta","year","numeric","Annee enquête",545801,0,1,NA
"ehcvm_conso_sen2021.dta","hhid","numeric","Identifiant unique menage",545801,0,7120,NA
"ehcvm_conso_sen2021.dta","vague","numeric","Vague",545801,0,2,NA
"ehcvm_conso_sen2021.dta","grappe","numeric","Numero grappe",545801,0,596,NA
"ehcvm_conso_sen2021.dta","menage","numeric","Numero menage",545801,0,19,NA
"ehcvm_conso_sen2021.dta","region","haven_labelled","Region résidence",545801,0,14,"1=Dakar; 2=Ziguinchor; 3=Diourbel; 4=St-Louis; 5=Tambacounda; 6=Kaolack; 7=Thiès; 8=Louga; 9=Fatick; 10=Kolda; 11=Matam; 12=Kaffrine; 13=Kedougou; 14=Sedhiou"
"ehcvm_conso_sen2021.dta","milieu","haven_labelled","0.04. Milieu de résidence",545801,0,2,"1=Urbain; 2=Rural"
"ehcvm_conso_sen2021.dta","hhweight","numeric","Ponderation",545801,0,1012,NA
"ehcvm_conso_sen2021.dta","codpr","haven_labelled","Code produit",545801,0,439,"[447 modalites]"
"ehcvm_conso_sen2021.dta","inclus","numeric","item is included in the final consumption aggregate",545801,0,2,NA
"ehcvm_conso_sen2021.dta","coicop","haven_labelled","one-digit COICOP coding of item",545801,0,15,"1=food/bev; 2=alcohol/tobacco; 3=clothing/footwear; 4=housing/utilities; 5=furnishings/equipment; 6=health; 7=transport; 8=info/comm; 9=recreation; 10=education; 11=restaurants; 12=insurance; 13=personal care; 98=not included; 99=NOT CONSUMPTION"
"ehcvm_conso_sen2021.dta","modep","haven_labelled","Mode d'acquisition",545801,0,5,"1=Achat; 2=Autoconso; 3=Don; 4=Valeur usage BD; 5=Loyer imputee"
"ehcvm_conso_sen2021.dta","depan","numeric","Depense annuelle",545801,0,35402,NA
"ehcvm_ihpc_sen2021.dta","annee","numeric","annee",60,0,5,NA
"ehcvm_ihpc_sen2021.dta","moislabel","Date","moislabel",60,0,60,NA
"ehcvm_ihpc_sen2021.dta","mois","numeric","mois",60,0,12,NA
"ehcvm_ihpc_sen2021.dta","ipc","numeric","serie_ansd",60,0,60,NA
"ehcvm_ihpc_sen2021.dta","serie_autre","numeric","serie_autre",60,0,58,NA
"ehcvm_individu_sen2021.dta","country","character","Pays",63530,0,1,NA
"ehcvm_individu_sen2021.dta","year","numeric","Annee enquete",63530,0,1,NA
"ehcvm_individu_sen2021.dta","vague","numeric","Vague",63530,0,2,NA
"ehcvm_individu_sen2021.dta","hhid","numeric","Idenfiant menage",63530,0,7120,NA
"ehcvm_individu_sen2021.dta","grappe","numeric","Numero de grappe",63530,0,596,NA
"ehcvm_individu_sen2021.dta","menage","numeric","Numero du menage",63530,0,19,NA
"ehcvm_individu_sen2021.dta","numind","numeric","Numero individu",63530,0,65,NA
"ehcvm_individu_sen2021.dta","zae","haven_labelled","Zone agroecologique",63530,0,6,"1=Kédougou; 3=Saint-Louis-Matam; 5=Thies-Diourbel-Louga; 7=Kaolack-Fatick-Kaffrine; 9=Ziguinchor-Tamba-Kolda-Sédhiou; 11=Dakar"
"ehcvm_individu_sen2021.dta","zaemil","numeric",NA,63530,0,11,NA
"ehcvm_individu_sen2021.dta","region","haven_labelled","Region residence",63530,0,14,"1=dakar; 2=ziguinchor; 3=diourbel; 4=SAINT-LOUIS; 5=tambacounda; 6=kaolack; 7=thies; 8=louga; 9=fatick; 10=kolda; 11=matam; 12=kaffrine; 13=kedougou; 14=sedhiou"
"ehcvm_individu_sen2021.dta","departement","haven_labelled","departement residence",63530,0,45,"[45 modalites]"
"ehcvm_individu_sen2021.dta","commune","character","commune residence",63530,0,364,NA
"ehcvm_individu_sen2021.dta","milieu","haven_labelled","0.04. Milieu de résidence",63530,0,2,"1=Urbain; 2=Rural"
"ehcvm_individu_sen2021.dta","hhweight","numeric","Ponderation menage",63530,0,1012,NA
"ehcvm_individu_sen2021.dta","resid","haven_labelled","Resident",63530,0,2,"0=Non; 1=Oui"
"ehcvm_individu_sen2021.dta","sexe","haven_labelled","Genre",63530,0,2,"1=Masculin; 2=Féminin"
"ehcvm_individu_sen2021.dta","age","numeric","Age en annees",63530,0,106,NA
